Crystal,Peak,Source,Peak_Error,Source_Error
1,128.737,121.782,0.007,0.0003
1,258.35,244.697,0.016,0.0008
1,363.383,344.279,0.019,0.0012
1,823.685,778.9045,0.016,0.0024
1,1489.25,1408.018,0.023,0.003
2,65.8012,121.782,0.03,0.0003
2,131.854,244.697,0.03,0.0008
2,185.593,344.279,0.05,0.0012
2,419.713,778.9045,0.034,0.0024
2,758.817,1408.018,0.033,0.003
3,128.122,121.782,0.006,0.0003
3,157.416,244.697,0.013,0.0008
3,362.153,344.279,0.011,0.0012
3,820.243,778.9045,0.03,0.0024
3,1482.45,1408.018,0.02,0.003
4,132.167,121.782,0.01,0.0003
4,266.538,244.697,0.01,0.0008
4,374.43,344.279,0.02,0.0012
4,845.45,778.9045,0.03,0.0024
4,1527.53,1408.018,0.02,0.003
5,108.924,121.782,0.006,0.0003
5,219.07,244.697,0.04,0.0008
5,308.31,344.279,0.01,0.0012
5,699.39,778.9045,0.02,0.0024
5,1263.33,1408.018,0.03,0.003
6,108.39,121.782,0.02,0.0003
6,215.19,244.697,0.02,0.0008
6,301.84,344.279,0.02,0.0012
6,679.58,778.9045,0.02,0.0024
6,1227.81,1408.018,0.02,0.003
7,117.84,121.782,0.01,0.0003
7,236.6,244.697,0.015,0.0008
7,334.35,344.279,0.01,0.0012
7,755.215,778.9045,0.03,0.0024
7,1365.58,1408.018,0.02,0.003
8,115.05,121.782,0.01,0.0003
8,231.19,244.697,0.04,0.0008
8,325.38,344.279,0.02,0.0012
8,736.736,778.9045,0.02,0.0024
8,1332.36,1408.018,0.04,0.003
9,112.37,121.782,0.01,0.0003
9,225.45,244.697,0.01,0.0008
9,317.33,344.279,0.01,0.0012
9,719.03,778.9045,0.03,0.0024
9,1300.32,1408.018,0.02,0.003
10,123.94,121.782,0.02,0.0003
10,248.83,244.697,0.013,0.0008
10,350.053,344.279,0.007,0.0012
10,793.18,778.9045,0.025,0.0024
10,1434.31,1408.018,0.02,0.003
11,115.33,121.782,0.005,0.0003
11,231.95,244.697,0.014,0.0008
11,325.93,344.279,0.011,0.0012
11,739.263,778.9045,0.022,0.0024
11,1335.96,1408.018,0.018,0.003
12,124.635,121.782,0.005,0.0003
12,250.19,244.697,0.012,0.0008
12,352.042,344.279,0.013,0.0012
12,795.63,778.9045,0.03,0.0024
12,1438.6,1408.018,0.021,0.003
13,116.7,121.782,0.011,0.0003
13,234.47,244.697,0.04,0.0008
13,329.89,344.279,0.01,0.0012
13,751.2,778.9045,0.02,0.0024
13,1356.77,1408.018,0.017,0.003
14,117.11,121.782,0.005,0.0003
14,235.49,244.697,0.04,0.0008
14,333.06,344.279,0.03,0.0012
14,752.08,778.9045,0.024,0.0024
14,1360.12,1408.018,0.02,0.003
15,119.38,121.782,0.0086,0.0003
15,239.61,244.697,0.011,0.0008
15,337.54,344.279,0.006,0.0012
15,764.49,778.9045,0.0023,0.0024
15,1383.17,1408.018,0.02,0.003
16,118.88,121.782,0.005,0.0003
16,239.05,244.697,0.016,0.0008
16,336.18,344.279,0.01,0.0012
16,764.58,778.9045,0.02,0.0024
16,1382.76,1408.018,0.02,0.003
17,123.28,121.782,0.007,0.0003
17,247.207,244.697,0.015,0.0008
17,347.67,344.279,0.017,0.0012
17,786.37,778.9045,0.03,0.0024
17,1422.35,1408.018,0.02,0.003
18,127.444,121.782,0.008,0.0003
18,258.64,244.697,0.034,0.0008
18,362.72,344.279,0.016,0.0012
18,816.14,778.9045,0.03,0.0024
18,1475.35,1408.018,0.023,0.003
19,127.223,121.782,0.005,0.0003
19,256.333,244.697,0.038,0.0008
19,360.42,344.279,0.01,0.0012
19,818.115,778.9045,0.024,0.0024
19,1478.58,1408.018,0.023,0.003
20,135.75,121.782,0.014,0.0003
20,271.99,244.697,0.039,0.0008
20,382.735,344.279,0.0068,0.0012
20,868.23,778.9045,0.026,0.0024
20,1570.13,1408.018,0.022,0.003
24,129.93,121.782,0.014,0.0003
24,260.04,244.697,0.01,0.0008
24,365.26,344.279,0.007,0.0012
24,826.38,778.9045,0.03,0.0024
24,1493.98,1408.018,0.02,0.003
25,119.78,121.782,0.005,0.0003
25,240.38,244.697,0.011,0.0008
25,338.089,344.279,0.01,0.0012
25,766.13,778.9045,0.02,0.0024
25,1385.44,1408.018,0.018,0.003
26,128.42,121.782,0.005,0.0003
26,258.14,244.697,0.05,0.0008
26,363.055,344.279,0.007,0.0012
26,822.36,778.9045,0.027,0.0024
26,1486.93,1408.018,0.019,0.003
27,126.94,121.782,0.005,0.0003
27,254.582,244.697,0.02,0.0008
27,357.88,344.279,0.01,0.0012
27,809.15,778.9045,0.05,0.0024
27,1462.57,1408.018,0.024,0.003
28,129.7,121.782,0.01,0.0003
28,260.53,244.697,0.01,0.0008
28,366.25,344.279,0.015,0.0012
28,827.89,778.9045,0.025,0.0024
28,1497.56,1408.018,0.021,0.003
29,154.783,121.782,0.01,0.0003
29,311,244.697,0.01,0.0008
29,437.43,344.279,0.01,0.0012
29,988.08,778.9045,0.02,0.0024
29,1785.86,1408.018,0.021,0.003
30,152.66,121.782,0.01,0.0003
30,306.35,244.697,0.01,0.0008
30,433.47,344.279,0.01,0.0012
30,977.167,778.9045,0.03,0.0024
30,1766.1,1408.018,0.02,0.003
31,144.6,121.782,0.01,0.0003
31,289.8,244.697,0.02,0.0008
31,409.9,344.279,0.01,0.0012
31,923.15,778.9045,0.03,0.0024
31,1667.77,1408.018,0.02,0.003
32,158.015,121.782,0.01,0.0003
32,317.097,244.697,0.015,0.0008
32,446.34,344.279,0.011,0.0012
32,1010.19,778.9045,0.03,0.0024
32,1826.41,1408.018,0.03,0.003
33,133.45,121.782,0.01,0.0003
33,268.08,244.697,0.01,0.0008
33,377.28,344.279,0.01,0.0012
33,855.62,778.9045,0.01,0.0024
33,1548.02,1408.018,0.02,0.003
34,136.076,121.782,0.01,0.0003
34,273.33,244.697,0.02,0.0008
34,384.72,344.279,0.02,0.0012
34,872.92,778.9045,0.03,0.0024
34,1577.38,1408.018,0.04,0.003
35,128.672,121.782,0.006,0.0003
35,258.64,244.697,0.02,0.0008
35,363.91,344.279,0.015,0.0012
35,826.96,778.9045,0.024,0.0024
35,1494.54,1408.018,0.03,0.003
36,135.54,121.782,0.01,0.0003
36,272.51,244.697,0.01,0.0008
36,383.38,344.279,0.01,0.0012
36,870.69,778.9045,0.02,0.0024
36,1574.76,1408.018,0.03,0.003
37,127.56,121.782,0.02,0.0003
37,256.2,244.697,0.05,0.0008
37,360.37,344.279,0.03,0.0012
37,811.69,778.9045,0.03,0.0024
37,1468.46,1408.018,0.04,0.003
38,125.12,121.782,0.006,0.0003
38,251.47,244.697,0.014,0.0008
38,353.77,344.279,0.02,0.0012
38,803.31,778.9045,0.01,0.0024
38,1451.56,1408.018,0.02,0.003
39,122,121.782,0.006,0.0003
39,244.13,244.697,0.02,0.0008
39,345.62,344.279,0.03,0.0012
39,777.81,778.9045,0.03,0.0024
39,1405.54,1408.018,0.02,0.003
41,129.01,121.782,0.02,0.0003
41,259.01,244.697,0.04,0.0008
41,364.41,344.279,0.014,0.0012
41,825.22,778.9045,0.024,0.0024
41,1491.64,1408.018,0.03,0.003
42,126.91,121.782,0.006,0.0003
42,255.13,244.697,0.02,0.0008
42,359,344.279,0.006,0.0012
42,814.09,778.9045,0.02,0.0024
42,1472.61,1408.018,0.03,0.003
43,128.263,121.782,0.006,0.0003
43,257.57,244.697,0.05,0.0008
43,362.12,344.279,0.013,0.0012
43,819.38,778.9045,0.04,0.0024
43,1480.31,1408.018,0.03,0.003
44,129.4,121.782,0.011,0.0003
44,260.1,244.697,0.05,0.0008
44,365.84,344.279,0.012,0.0012
44,830.11,778.9045,0.09,0.0024
44,1500.82,1408.018,0.03,0.003
45,124.75,121.782,0.005,0.0003
45,250.8,244.697,0.01,0.0008
45,352.92,344.279,0.02,0.0012
45,802.34,778.9045,0.02,0.0024
45,1449.88,1408.018,0.02,0.003
46,132.55,121.782,0.005,0.0003
46,266.46,244.697,0.1,0.0008
46,376.7,344.279,0.01,0.0012
46,849.85,778.9045,0.02,0.0024
46,1537.18,1408.018,0.02,0.003
47,127.86,121.782,0.006,0.0003
47,257.02,244.697,0.04,0.0008
47,361.85,344.279,0.01,0.0012
47,821,778.9045,0.02,0.0024
47,1484.51,1408.018,0.02,0.003
48,126.1,121.782,0.01,0.0003
48,253.03,244.697,0.04,0.0008
48,356.06,344.279,0.02,0.0012
48,809.81,778.9045,0.025,0.0024
48,1463.43,1408.018,0.02,0.003
